Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Sentiment),Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Test Level),Custom field (Test Steps),Custom field (TestCase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
T   CustomerName - Search Purchase Bill with Customer Name,N3NJS1809-178,10338,Testcase,To Do,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,,,,Hồ Hữu Phước,712020:a0a953d5-90e0-4a73-bc0c-3340c8b3c1a2,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,18/Jul/24 3:16 PM,18/Jul/24 3:17 PM,18/Jul/24 3:19 PM,,,0,SaleManagement,"T   - CustomerName - Search Purchase Bill with Customer Name


* Steps we’ll take…
1. Click “Search Purchase  Bill” buttom
2. Fill “Nguyen Van B” to search Customer Name

Success is:
Bill with Customer Name “Nguyen Van B” appear including data",,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-121,,,"A notification: ""Not found

No results found for  ""Nguyen Van B""
Cannot find Bill with Customer Name",,,,,,{},,,,,,Bills with Customer Name “Nguyen Van B” appear including data,,,,,0|i001x3:,,,,,,,,,,,,,,,Unit,"1. Click “Search Bill” buttom
2. Fill “Nguyen Van B” to search Customer Name",Skip,,,,,,,To Do,18/Jul/24 3:16 PM
CLONE - T37 Promotion Submit - Promotion with the same discount rate already exists for this period,N3NJS1809-177,10337,Testcase,To Do,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,,,,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,18/Jul/24 3:12 PM,18/Jul/24 3:12 PM,18/Jul/24 3:19 PM,,,0,,,,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-176,,,,,,,,,{},,,,,,,,,,,0|i001wv:,,,,,,,,,,,,,,,,,,,,,,,,To Do,18/Jul/24 3:12 PM
T37 Promotion Submit - Promotion with the same discount rate already exists for this period,N3NJS1809-176,10336,Testcase,To Do,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,,,,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,18/Jul/24 3:12 PM,18/Jul/24 3:18 PM,18/Jul/24 3:19 PM,,,0,,,,Nguyen Dong Giang (K18 HCM),712020:19a3c59e-2216-43d3-aafc-69339756e680,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-177,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i001wn:,,,,,,,,,,,,,,,,,,,,,,,,To Do,18/Jul/24 3:12 PM
T33 Delete Counter - Delete Successfully,N3NJS1809-175,10335,Testcase,To Do,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,,,,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,18/Jul/24 3:08 PM,18/Jul/24 3:18 PM,18/Jul/24 3:19 PM,,,0,,"T31 Delete Staff - Deleted Successfully
Steps we’ll take…

# Click on 3 dot toggle, choose delete

# A modal show counter information, click on delete 

*Success is….*✨ 

An success message “Deleted successfully” must be shown",,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,,,,,,,,,,,,,,,,,,N3NJS1809-171,,,,,,,,,,,,,,,,,,,,,An success message “Deleted successfully” must be shown,,,,,,{},,,,,,An success message “Deleted successfully” must be shown,,,,,0|i001wf:,,,,,,,,,,,,,,,,"Click on 3 dot toggle, choose delete

A modal show counter information, click on delete",,,,,,,,To Do,18/Jul/24 3:08 PM
UC 09 - Counter Management - Delete Counter,N3NJS1809-174,10334,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,18/Jul/24 3:00 PM,18/Jul/24 3:05 PM,18/Jul/24 3:19 PM,18/Jul/24 3:00 PM,,0,,"T.. Delete Promotion - Deleted Promotion Successfully
Steps we’ll take…

# Click on 3 dot toggle on row of counter,  choose delete
# A modal show information promotion, click on delete 



*Success is….*✨ 

An success message “Delete successfully” must be shown",,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,,,,,,,,,,,,,,,,,,N3NJS1809-170,,,,,,,,,,,,,,,,,,,,,An success message “Delete successfully” must be shown,,,,,,{},,,,,,An success message “Delete successfully” must be shown,,,,,0|i001w7:,,,,,,,,,,,,,,,,"Click on 3 dot toggle on row of counter,  choose delete

A modal show information promotion, click on delete",,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_338,,,Done,18/Jul/24 3:00 PM
T  Purchase Bill code- Search Purchase Bill with Purchase Bill code,N3NJS1809-173,10333,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,18/Jul/24 2:55 PM,18/Jul/24 3:12 PM,18/Jul/24 3:19 PM,18/Jul/24 2:58 PM,,0,PurchaseManagement,"* T   Purchase Bill code  - Search Purchase  Bill with Purchase Bill code

Steps we’ll take…
1. Click “Search Search  Bill” buttom
2. Fill “10” to search Purchase Bill code

Success is:
Bill with ID “10” appear including data",,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,,,,,,,,,N3NJS1809-41,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-117,18/Jul/24 3:12 PM;rk:e437ebd3-624a-4e45-9026-7bfe25bae05d;z5645097673613_42706322d35840a3085304013a4a1700.jpg;https://fpt-team-kweek2z8.atlassian.net/rest/api/3/attachment/content/10217,,Bill with ID “10” appear including data,,,,,,{},,,,,,Bill with ID “10” appear including data,,,,,0|i001vz:,,,,,,,,,,,,,,,Unit,"1. Click “Search Bill” buttom
2. Fill “10” to search BillId",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_195295,,,Done,18/Jul/24 2:58 PM
UC11 - Counter Management - Create Counter,N3NJS1809-172,10332,Story,To Do,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,,,,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,18/Jul/24 2:52 PM,18/Jul/24 2:52 PM,18/Jul/24 3:19 PM,,,0,,,,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-26,,,,,,,,,{},,N3NJS1809-4,Counter Management,,,,,purple,,,0|i001vr:,,,,,,,,,,,,,,,,,,,,,,10164,Counter Management,To Do,18/Jul/24 2:52 PM
UC 10 - Counter Management - Update Counter,N3NJS1809-171,10331,Story,To Do,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,,,,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,18/Jul/24 2:52 PM,18/Jul/24 3:08 PM,18/Jul/24 3:19 PM,,,0,,,,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,,,,,,,,,N3NJS1809-175,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-26,,,,,,,,,{},,N3NJS1809-4,Counter Management,,,,,purple,,,0|i001vj:,,,,,,,,,,,,,,,,,,,,,,10164,Counter Management,To Do,18/Jul/24 2:52 PM
UC 09 - Counter Management - Delete Counter,N3NJS1809-170,10330,Story,To Do,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,,,,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,18/Jul/24 2:51 PM,18/Jul/24 3:00 PM,18/Jul/24 3:19 PM,,,0,,,,Do Nguyen My Anh,712020:efc959d6-196b-4f1a-a0e4-32a7627d31f9,,,,,,,,,N3NJS1809-174,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-26,,,,,,,,,{},,N3NJS1809-4,Counter Management,,,,,purple,,,0|i001vb:,,,,,,,,,,,,,,,,,,,,,,10164,Counter Management,To Do,18/Jul/24 2:51 PM
T Adding item: Quantity must be greater than 0,N3NJS1809-169,10329,Testcase,Done,N3NJS1809,N3_NJS1809_SWP,software,Trương Minh Phước,712020:5eb85af2-71b5-4db7-b278-cb5d58420ad5,,Medium,Done,,,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,18/Jul/24 2:49 PM,18/Jul/24 2:54 PM,18/Jul/24 3:19 PM,18/Jul/24 2:50 PM,,0,PurchaseManagement,"T Adding item: Quantity must be greater than 0


* Steps we’ll take…
1. Click New Sale Bill button
2. Fill all the fileds
3. At Qty field, press “0“
4. Click Save button
Success is:
A pop up:”Quantity must be greater than 0” appear",,Nguyễn Lê Khôi,712020:586ced39-a98a-4037-8a62-d032a63f562a,,,,,,,,,N3NJS1809-41,,,,,,,,,,,,,,,,,,,,,,,,,,,N3NJS1809-165,,,A pop up:”Quantity must be greater than 0” appear,,,,,,{},,,,,,A pop up:”Quantity must be greater than 0” appear,,,,,0|i001v3:,,,,,,,,,,,,,,,Unit,"1. Click New Sale Bill button
2. Fill all the fileds
3. At Qty field, press “0“
4. Click Save button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_26733,,,Done,18/Jul/24 2:50 PM
